Cites,Authors,Title,Year,Source,GSRank,ECC,CitesPerYear,CitesPerAuthor,AuthorCount
29,"A Ritz, E Lurz, M Berger",Sarcopenia in children with solid organ tumors: an instrumental era,2022,Cells,796,29,9.67,10,3
29,"G Marasco, E Dajti, F Ravaioli, S Brocchi…",Clinical impact of sarcopenia assessment in patients with liver cirrhosis,2021,Expert Review of …,487,29,7.25,6,5
29,"M Yin, H Zhang, Q Liu, F Ding, Y Deng, L Hou…",Diagnostic performance of clinical laboratory indicators with sarcopenia: results from the West China health and aging trend study,2021,Frontiers in Endocrinology,697,29,7.25,4,7
29,"PA Pinheiro, R da Silva Coqueiro, JAO Carneiro…",Anthropometric indicators as screening tools for sarcopenia in older adult women,2020,… Clínica (English Edition),778,29,5.8,7,4
29,"A Mishra, KD Bigam, M Extermann…",Sarcopenia and low muscle radiodensity associate with impaired FEV1 in allogeneic haematopoietic stem cell transplant recipients,2020,"Journal of Cachexia, Sarcopenia and Muscle",847,29,5.8,7,4
29,"FF Ozer, S Akın, M Gultekin, GE Zararsız","Sarcopenia, dynapenia, and body composition in Parkinson's disease: are they good predictors of disability?: a case–control study",2020,Neurological Sciences,382,29,5.8,7,4
29,"ST Clark, G Malietzis, TN Grove, JT Jenkins…",The emerging role of sarcopenia as a prognostic indicator in patients undergoing abdominal wall hernia repairs: a systematic review of the literature,2020,Hernia,834,29,5.8,6,5
29,"DW Ma, Y Cho, M Jeon, JH Kim, IJ Lee…",Relationship between sarcopenia and prognosis in patient with concurrent chemo-radiation therapy for esophageal cancer,2019,Frontiers in Oncology,985,29,4.83,5,6
28,"B Montero-Errasquín, AJ Cruz-Jentoft",Acute sarcopenia,2023,Gerontology,615,28,14,14,2
28,"M Torii, T Itaya, H Minamino, M Katsushima…",Management of sarcopenia in patients with rheumatoid arthritis,2023,Modern …,969,28,14,6,5
28,"M Spanoudaki, C Giaginis, M Mentzelou, A Bisbinas…","Sarcopenia and sarcopenic obesity and osteoarthritis: a discussion among muscles, fat, bones, and aging",2023,Life,92,28,14,6,5
28,"A Hioka, N Akazawa, N Okawa, S Nagahiro",Extracellular water-to-total body water ratio is an essential confounding factor in bioelectrical impedance analysis for sarcopenia diagnosis in women,2022,European geriatric medicine,752,28,9.33,7,4
28,"Y Yoshimura, H Wakabayashi, F Nagano, A Matsumoto…",The applicability of the ESPEN and EASO-defined diagnostic criteria for sarcopenic obesity in Japanese patients after stroke: prevalence and association with …,2022,Nutrients,142,28,9.33,6,5
28,"J Huang, F He, X Gu, S Chen, Z Tong…",Estimation of sarcopenia prevalence in individuals at different ages from Zheijang province in China,2021,Aging (Albany …,314,28,7,5,6
28,"V Rodrigues, F Landi, S Castro, R Mast…",Is sarcopenic obesity an indicator of poor prognosis in gastric cancer surgery? A cohort study in a western population,2021,Journal of Hepatology,900,28,7,6,5
28,"RRL Silva, JFV Coutinho, CTM Vasconcelos…",Prevalence of sarcopenia in older women with pelvic floor dysfunction,2021,European Journal of …ffff,398,28,7,7,4
28,"V McSharry, K Glennon, A Mullee…",The impact of body composition on treatment in ovarian cancer: a current insight,2021,Expert Review of …,498,28,7,7,4
28,"MC Medeiros, N Rocha, E Bandeira…","Serum sclerostin, body composition, and sarcopenia in hemodialysis patients with diabetes",2020,International Journal …,295,28,5.6,7,4
28,"LAA Santos, TB Lima, MV Ietsugu…",Anthropometric measures associated with sarcopenia in outpatients with liver cirrhosis,2019,Nutrition & …,791,28,4.67,7,4
28,"LR Anastácio, LG Ferreira, HS Ribeiro…","Sarcopenia, obesity and sarcopenic obesity in liver transplantation: a body composition prospective study",2019,… Brasileiros de Cirurgia …,124,28,4.67,7,4
28,"M Yanishi, H Kinoshita, H Tsukaguchi, Y Kimura…",Dual energy X-ray absorptiometry and bioimpedance analysis are clinically useful for measuring muscle mass in kidney transplant recipients with sarcopenia,2018,Transplantation …,467,28,4,6,5
27,"Y Zhang, L Zhang, X Gao, C Dai…",Impact of malnutrition and sarcopenia on quality of life in patients with inflammatory bowel disease: A multicentre study,2023,"Journal of Cachexia, Sarcopenia and Muscle",621,27,13.5,5,5
27,"ML Sánchez-Tocino, B Miranda-Serrano…",Sarcopenia and mortality in older hemodialysis patients,2022,Nutrients,216,27,9,9,3
27,"FT Vieira, K Godziuk, F Lamarca, MS Melendez-Araújo…",Sarcopenic obesity diagnosis by different criteria mid-to long-term post-bariatric surgery,2022,Clinical Nutrition,58,27,9,5,5
27,"A Buch, A Ben-Yehuda, V Rouach, AB Maier…",Validation of a multi-frequency bioelectrical impedance analysis device for the assessment of body composition in older adults with type 2 diabetes,2022,Nutrition & …,714,27,9,5,5
27,"G Bocca, S Mastoridis, T Yeung, DRC James…",Visceral-to-subcutaneous fat ratio exhibits strongest association with early post-operative outcomes in patients undergoing surgery for advanced rectal cancer,2022,International Journal of …,777,27,9,5,5
27,"CL Lin, NC Yu, HC Wu, YY Lee, WC Lin…",Association of body composition with type 2 diabetes: A retrospective chart review study,2021,International journal of …,707,27,6.75,5,6
27,"H Miura, K Sakaguchi, W Ogawa…",Clinical features of 65‐year‐old individuals in Japan diagnosed with possible sarcopenia based on the Asian Working Group for Sarcopenia 2019 criteria,2021,Geriatrics &Gerontology …,704,27,6.75,7,4
27,"J Kim, SH Han, HI Kim",Detection of sarcopenic obesity and prediction of long‐term survival in patients with gastric cancer using preoperative computed tomography and machine learning,2021,Journal of Surgical Oncology,4,27,6.75,9,3
27,B Akan,Influence of sarcopenia focused on critically ill patients,2021,Acute and Critical Care,901,27,6.75,27,1
27,"M Tada, Y Yamada, K Mandai, N Hidaka",Screening for sarcopenia and obesity by measuring thigh muscle and fat thickness by ultrasound in patients with rheumatoid arthritis,2021,Osteoporosis and Sarcopenia,107,27,6.75,7,4
27,"KS Park, GY Lee, YM Seo, SH Seo, JI Yoo",… between extracellular water-to-body water ratio and sarcopenia according to the newly revised Asian Working Group for Sarcopenia: 2019 Consensus Update,2021,Aging clinical and …,937,27,6.75,5,5
27,"I El Bizri, JA Batsis",Linking epidemiology and molecular mechanisms in sarcopenic obesity in populations,2020,Proceedings of the Nutrition Society,873,27,5.4,14,2
27,"E Jeffery, YCG Lee, RU Newton, P Lyons-Wall…",Body composition and nutritional status in malignant pleural mesothelioma: implications for activity levels and quality of life,2019,European journal of …gggg,593,27,4.5,5,5
27,"R Krzymińska-Siemaszko, A Fryzowicz…",The impact of the age range of young healthy reference population on the cut-off points for low muscle mass necessary for the diagnosis of sarcopenia.,2019,European Review for …,448,27,4.5,9,3
26,"X Yan, H Li, R Xie, L Lin, L Ding, X Cheng, J Xu…","Relationships between sarcopenia, nutrient intake, and gut microbiota in Chinese community-dwelling older women",2023,Archives of gerontology …,965,26,13,3,8
26,"SG Wannamethee, JL Atkins",Sarcopenic obesity and cardiometabolic health and mortality in older adults: a growing health concern in an ageing population,2023,Current Diabetes Reports,415,26,13,13,2
26,"JY Ryu, M Kim, KS Kim, S Kim, CW Won",Chair stand test as a proxy for physical performance and muscle strength in sarcopenia diagnosis: the Korean frailty and aging cohort study,2022,Aging clinical and Experimental Gerontology,876,26,8.67,5,5
26,"A Leone, G Rescio, A Manni, P Siciliano, A Caroppo",Comparative analysis of supervised classifiers for the evaluation of sarcopenia using a sEMG-based platform,2022,Sensors,117,26,8.67,5,5
26,"YJ Kim, S Moon, JM Yu…",Implication of diet and exercise on the management of age‐related sarcopenic obesity in Asians,2022,Geriatrics &Gerontology …,779,26,8.67,7,4
26,"I Cornejo-Pareja, AG Soler-Beunza, IM Vegas-Aguilar…","Predictors of sarcopenia in outpatients with post-critical SARS-CoV2 disease. Nutritional ultrasound of rectus femoris muscle, a potential tool",2022,Nutrients,300,26,8.67,7,4
26,"YD Rong, AL Bian, HY Hu, Y Ma, XZ Zhou",A cross-sectional study of the relationships between different components of sarcopenia and brachial ankle pulse wave velocity in community-dwelling elderly,2020,BMC Geriatrics,647,26,5.2,5,5
25,"K Shiroma, H Tanabe, Y Takiguchi, M Yamaguchi…","A nutritional assessment tool, GNRI, predicts sarcopenia and its components in type 2 diabetes mellitus: A Japanese cross-sectional study",2023,Frontiers in Nutrition,555,25,12.5,5,5
25,"S Gu, L Wang, R Han, X Liu, Y Wang, T Chen…",Detection of sarcopenia using deep learning-based artificial intelligence body part measure system (AIBMS),2023,Frontiers in Physiology,7,25,12.5,4,7
25,"D Turimov Mustapoevich, W Kim",Machine learning applications in sarcopenia detection and management: a comprehensive survey,2023,Healthcare,5,25,12.5,13,2
25,"DH Lynch, HB Spangler, JR Franz, RL Krupenevich…",Multimodal diagnostic approaches to advance precision medicine in sarcopenia and frailty,2022,Nutrients,21,25,8.33,5,5
25,"M Siotto, M Germanotta, A Guerrini, S Pascali…","Relationship between nutritional status, food consumption and sarcopenia in post-stroke rehabilitation: preliminary data",2022,Nutrients,746,25,8.33,5,5
25,"P Wang, S Wang, Y Ma, H Li, Z Liu, G Lin, X Li…",Sarcopenic obesity and therapeutic outcomes in gastrointestinal surgical oncology: a meta-analysis,2022,Frontiers in Nutrition,671,25,8.33,3,8
25,"E Somasundaram, JA Castiglione, SL Brady…",… normal ranges of skeletal muscle area and skeletal muscle index in children on CT using an automated deep learning pipeline: implications for sarcopenia diagnosis,2022,American Journal of …,14,25,8.33,6,4
25,"S Paolino, F Goegan, MA Cimmino…",Advanced microvascular damage associated with occurence of sarcopenia in systemic sclerosis patients: results from a retrospective cohort study,2020,Clin Exp …,709,25,5,6,4
25,"M Tsekoura, E Tsepis, E Billis, J Gliatis",Sarcopenia in patients with chronic obstructive pulmonary disease: A study of prevalence and associated factors in Western Greek population,2020,Lung India,764,25,5,6,4
25,"JT Collins, S Noble, J Chester, HE Davies…",The value of physical performance measurements alongside assessment of sarcopenia in predicting receipt and completion of planned treatment in non-small cell …,2018,Supportive Care in …,974,25,3.57,5,5
25,"E De Rosa, L Santarpia, M Marra, R Sammarco…",Preliminary evaluation of the prevalence of sarcopenia in obese patients from Southern Italy,2015,Nutrition,896,25,2.5,5,5
24,"S Mazeaud, R Zupo, A Couret, F Panza…",Prevalence of sarcopenia in liver cirrhosis: a systematic review and meta-analysis,2023,Clinical and …,607,24,12,5,5
24,"HS Kim, JW Park, YK Lee, JI Yoo…",Prevalence of sarcopenia and mortality rate in older adults with hip fracture,2022,Journal of the …,597,24,8,5,5
24,"J Bundred, RG Thakkar…","Systematic review of sarcopenia in chronic pancreatitis: prevalence, impact on surgical outcomes, and survival",2022,Expert review of …,291,24,8,8,3
24,"L Luengpradidgun, N Chamroonkul, P Sripongpun…",Utility of handgrip strength (HGS) and bioelectrical impedance analysis (BIA) in the diagnosis of sarcopenia in cirrhotic patients,2022,BMC …,185,24,8,6,4
24,"MB Zanchetta, R Abdala, F Massari, P Rey…",Postmenopausal women with sarcopenia have higher prevalence of falls and vertebral fractures,2021,,841,24,6,5,5
24,"JB Ko, KB Kim, YS Shin, H Han, SK Han…",Predicting sarcopenia of female elderly from physical activity performance measurement using machine learning classifiers,2021,… Interventions in Aging,59,24,6,4,6
24,"M Cui, X Gang, F Gao, G Wang, X Xiao, Z Li…",Risk assessment of sarcopenia in patients with type 2 diabetes mellitus using data mining methods,2020,Frontiers in Endocrinology,740,24,4.8,3,7
24,"ER Barbalho, IMG Rocha, GOC Medeiros…",Agreement between software programmes of body composition analyses on abdominal computed tomography scans of obese adults,2019,… of endocrinology and …,813,24,4,6,4
23,A Azizan,Mapping the muscle mass: A birds-eye view of sarcopenia research through bibliometric network analysis,2023,International Journal of Disabilities Sports and Health …,428,23,11.5,23,1
23,"GA Rodge, U Goenka, S Jajodia, R Agarwal…",Psoas muscle index: a simple and reliable method of sarcopenia assessment on computed tomography scan in chronic liver disease and its impact on mortality,2023,Journal of Clinical and …,738,23,11.5,5,5
23,"Y Fan, B Zhang, G Huang, G Zhang, Z Ding…",Sarcopenia: Body composition and gait analysis,2022,Frontiers in aging …,343,23,7.67,4,6
23,"F Chuan, S Chen, X Ye, S Kang, M Mei, W Tian, K Liao…",Sarcopenic obesity predicts negative health outcomes among older patients with type 2 diabetes: the ageing and body composition of diabetes (ABCD) cohort study,2022,Clinical Nutrition,94,23,7.67,3,8
23,"TW Kao, TC Peng, WL Chen, YC Chi…",Higher serum leptin levels are associated with a reduced risk of sarcopenia but a higher risk of dynapenia among older adults,2021,Journal of Hepatology,828,23,5.75,5,5
23,"A Diago-Galmés, C Guillamón-Escudero…",Salivary testosterone and cortisol as biomarkers for the diagnosis of sarcopenia and sarcopenic obesity in community-dwelling older adults,2021,Biology,179,23,5.75,8,3
23,"Y Soh, CW Won",Sex differences in impact of sarcopenia on falls in community-dwelling Korean older adults,2021,BMC Geriatrics,366,23,5.75,12,2
23,"K Jaap, M Hunsinger, J Dove, K Mcginty…",Morphometric predictors of morbidity after pancreatectomy,2016,The American …,701,23,2.56,5,5
22,"S Kim, S Park, S Lee, SH Seo, HS Kim, Y Cha…",Assessing physical abilities of sarcopenia patients using gait analysis and smart insole for development of digital biomarker,2023,Scientific Reports,129,22,11,3,7
22,"A Ben Tekaya, T Mehmli, M Ben Sassi, Z Teyeb…",Effects of biologic and target synthetic disease-modifying anti-rheumatic drugs on sarcopenia in spondyloarthritis and rheumatoid arthritis: a systematic review and …,2023,Clinical …,811,22,11,4,5
22,"LD Juez, P Priego, M Bajawi, M Cuadrado…",Impact of sarcopenic obesity on long-term cancer outcomes and postoperative complications after gastrectomy for gastric cancer,2023,Journal of Hepatology,306,22,11,4,5
22,"M Seok, W Kim",Sarcopenia prediction for elderly people using machine learning: A case study on physical activity,2023,Healthcare,12,22,11,11,2
22,"M Zembura, K Czepczor-Bernat, P Dolibog…","Skeletal muscle mass, muscle strength, and physical performance in children and adolescents with obesity",2023,Frontiers in Endocrinology,721,22,11,6,4
